Ignore,Scene,Start,End,Caption
No,0,00:17:59.867,00:18:09.717,
No,0,00:18:10.127,00:18:12.220,
No,0,00:18:12.630,00:18:13.471,
No,0,00:18:13.881,00:18:24.690,
No,0,00:18:25.100,00:18:39.122,
No,0,00:18:39.532,00:18:42.667,
No,0,00:18:43.077,00:18:47.463,
No,0,00:18:47.873,00:18:49.632,
No,0,00:18:50.042,00:18:52.760,
No,0,00:18:53.170,00:18:57.014,
No,0,00:18:57.424,00:18:59.851,
No,0,00:19:00.261,00:19:01.561,
No,0,00:19:01.971,00:19:02.854,
No,0,00:19:03.264,00:19:03.938,
No,0,00:19:04.348,00:19:05.982,
No,0,00:19:06.392,00:19:08.192,
No,0,00:19:08.602,00:19:10.987,
No,0,00:19:11.397,00:19:14.448,
No,0,00:19:14.858,00:19:16.659,
No,0,00:19:17.069,00:19:17.952,
No,0,00:19:18.362,00:19:19.745,
No,0,00:19:20.155,00:19:24.125,
No,0,00:19:24.535,00:19:25.960,
No,0,00:19:26.370,00:19:29.672,
No,0,00:19:30.082,00:19:33.217,
No,0,00:19:33.627,00:19:35.094,
No,0,00:19:35.504,00:19:36.721,
No,0,00:19:37.131,00:19:38.389,
No,0,00:19:38.799,00:19:39.932,
No,0,00:19:40.342,00:19:44.729,
No,0,00:19:45.139,00:19:46.355,
No,0,00:19:46.765,00:19:48.524,
No,0,00:19:48.934,00:19:49.609,
No,0,00:19:50.019,00:19:53.946,
No,0,00:19:54.356,00:19:55.698,
No,0,00:19:56.108,00:19:57.533,
No,0,00:19:57.943,00:19:59.785,
No,0,00:20:00.195,00:20:00.786,
No,0,00:20:01.196,00:20:03.331,
No,0,00:20:03.741,00:20:04.207,
No,0,00:20:04.617,00:20:05.625,
No,0,00:20:06.035,00:20:09.712,
No,0,00:20:10.122,00:20:12.590,
No,0,00:20:13.000,00:20:15.968,
No,0,00:20:16.378,00:20:18.346,
No,0,00:20:18.756,00:20:22.683,
No,0,00:20:23.093,00:20:24.352,
No,0,00:20:24.762,00:20:26.062,
No,0,00:20:26.472,00:20:31.609,
No,0,00:20:32.019,00:20:32.568,
No,0,00:20:32.978,00:20:36.030,
No,0,00:20:36.440,00:20:37.031,
No,0,00:20:37.441,00:20:38.032,
No,0,00:20:38.442,00:20:39.700,
No,0,00:20:40.110,00:20:40.785,
No,0,00:20:41.195,00:20:42.203,
No,0,00:20:42.613,00:20:44.372,
No,0,00:20:44.782,00:20:45.540,
No,0,00:20:45.950,00:20:46.666,
No,0,00:20:47.076,00:20:49.835,
No,0,00:20:50.245,00:20:51.128,
No,0,00:20:51.538,00:20:53.256,
No,0,00:20:53.666,00:20:54.048,
No,0,00:20:54.458,00:20:54.799,
No,0,00:20:55.209,00:20:57.093,
No,0,00:20:57.503,00:21:01.639,
No,0,00:21:02.049,00:21:03.057,
No,0,00:21:03.467,00:21:05.393,
No,0,00:21:05.803,00:21:08.104,
