Ignore,Scene,Start,End,Caption
No,0,00:47:53.951,00:47:54.083,
No,0,00:47:54.493,00:47:54.709,
No,0,00:47:55.119,00:47:56.752,
No,0,00:47:57.162,00:47:58.170,
No,0,00:47:58.580,00:48:01.382,
No,0,00:48:01.792,00:48:02.383,
No,0,00:48:02.793,00:48:04.051,
No,0,00:48:04.461,00:48:06.429,
No,0,00:48:06.839,00:48:16.188,
No,0,00:48:16.598,00:48:33.956,
No,0,00:48:34.366,00:48:36.125,
No,0,00:48:36.535,00:48:40.338,
No,0,00:48:40.748,00:48:50.890,
No,0,00:48:51.300,00:49:47.113,
No,0,00:49:47.523,00:49:49.991,
No,0,00:49:50.401,00:50:03.170,
No,0,00:50:03.580,00:50:05.589,
No,0,00:50:05.999,00:50:07.508,
No,0,00:50:07.918,00:50:16.392,
No,0,00:50:16.802,00:50:18.686,
No,0,00:50:19.096,00:50:23.065,
No,0,00:50:23.475,00:50:26.318,
No,0,00:50:26.728,00:50:31.449,
No,0,00:50:31.859,00:50:36.954,
No,0,00:50:37.364,00:50:39.957,
No,0,00:50:40.367,00:51:03.939,
No,0,00:51:04.349,00:51:10.112,
No,0,00:51:10.522,00:51:13.949,
No,0,00:51:14.359,00:51:18.412,
No,0,00:51:18.822,00:51:22.208,
No,0,00:51:22.618,00:51:28.506,
No,0,00:51:28.916,00:51:37.723,
No,0,00:51:38.133,00:51:44.396,
No,0,00:51:44.806,00:51:50.903,
No,0,00:51:51.313,00:51:53.739,
No,0,00:51:54.149,00:51:55.199,
No,0,00:51:55.609,00:52:00.955,
No,0,00:52:01.365,00:52:07.253,
No,0,00:52:07.663,00:52:18.973,
No,0,00:52:19.383,00:52:21.600,
No,0,00:52:22.010,00:52:24.311,
No,0,00:52:24.721,00:52:25.688,
No,0,00:52:26.098,00:53:36.634,
No,0,00:53:37.044,00:53:38.594,
No,0,00:53:39.004,00:53:43.807,
No,0,00:53:44.217,00:54:18.467,
No,0,00:54:18.877,00:54:26.100,
No,0,00:54:26.510,00:54:36.694,
No,0,00:54:37.104,00:54:38.696,
No,0,00:54:39.106,00:54:45.077,
No,0,00:54:45.487,00:54:50.124,
No,0,00:54:50.534,00:54:52.001,
No,0,00:54:52.411,00:54:52.584,
No,0,00:54:52.994,00:54:55.879,
No,0,00:54:56.289,00:54:56.839,
No,0,00:54:57.249,00:55:01.844,
No,0,00:55:02.254,00:55:04.096,
No,0,00:55:04.506,00:55:08.183,
No,0,00:55:08.593,00:55:11.478,
No,0,00:55:11.888,00:55:14.273,
No,0,00:55:14.683,00:55:18.652,
No,0,00:55:19.062,00:55:21.447,
No,0,00:55:21.857,00:55:29.204,
No,0,00:55:29.614,00:55:34.793,
No,0,00:55:35.203,00:55:37.254,
No,0,00:55:37.664,00:55:41.550,
No,0,00:55:41.960,00:55:43.552,
No,0,00:55:43.962,00:55:48.724,
No,0,00:55:49.134,00:55:52.102,
No,0,00:55:52.512,00:55:54.271,
No,0,00:55:54.681,00:55:59.902,
No,0,00:56:00.312,00:56:02.780,
No,0,00:56:03.190,00:56:04.948,
No,0,00:56:05.358,00:56:07.076,
No,0,00:56:07.486,00:56:16.877,
No,0,00:56:17.287,00:56:21.131,
No,0,00:56:21.541,00:56:23.217,
No,0,00:56:23.627,00:56:27.429,
No,0,00:56:27.839,00:56:32.101,
No,0,00:56:32.511,00:56:36.313,
No,0,00:56:36.723,00:56:37.981,
No,0,00:56:38.391,00:56:40.901,
No,0,00:56:41.311,00:56:44.905,
No,0,00:56:45.315,00:56:46.824,
No,0,00:56:47.234,00:56:48.617,
No,0,00:56:49.027,00:56:50.953,
No,0,00:56:51.363,00:56:53.122,
No,0,00:56:53.532,00:56:58.877,
No,0,00:56:59.287,00:57:00.963,
No,0,00:57:01.373,00:57:02.798,
No,0,00:57:03.208,00:57:04.007,
No,0,00:57:04.417,00:57:06.093,
No,0,00:57:06.503,00:57:11.849,
No,0,00:57:12.259,00:57:13.517,
No,0,00:57:13.927,00:57:21.275,
No,0,00:57:21.685,00:57:22.609,
No,0,00:57:23.019,00:57:24.027,
No,0,00:57:24.437,00:57:25.696,
No,0,00:57:26.106,00:57:26.905,
No,0,00:57:27.315,00:57:28.240,
No,0,00:57:28.650,00:57:29.783,
No,0,00:57:30.193,00:57:31.326,
No,0,00:57:31.736,00:57:33.495,
No,0,00:57:33.905,00:57:36.999,
No,0,00:57:37.409,00:57:40.085,
No,0,00:57:40.495,00:57:41.170,
No,0,00:57:41.580,00:57:42.546,
No,0,00:57:42.956,00:57:44.756,
No,0,00:57:45.166,00:57:45.883,
No,0,00:57:46.293,00:57:47.342,
No,0,00:57:47.752,00:57:48.844,
No,0,00:57:49.254,00:57:50.429,
No,0,00:57:50.839,00:57:55.100,
No,0,00:57:55.510,00:58:04.985,
No,0,00:58:05.395,00:58:07.738,
No,0,00:58:08.148,00:58:26.340,
No,0,00:58:26.750,00:58:36.600,
No,0,00:58:37.010,00:58:41.188,
No,0,00:58:41.598,00:58:47.569,
No,0,00:58:47.979,00:58:56.828,
No,0,00:58:57.238,00:59:00.040,
No,0,00:59:00.450,00:59:02.000,
No,0,00:59:02.410,00:59:21.895,
