Ignore,Scene,Start,End,Caption
No,0,01:10:33.851,01:10:40.782,
No,0,01:10:41.192,01:10:45.745,
No,0,01:10:46.155,01:10:47.580,
No,0,01:10:47.990,01:10:51.876,
No,0,01:10:52.286,01:10:59.133,
No,0,01:10:59.543,01:11:07.141,
No,0,01:11:07.551,01:11:13.856,
No,0,01:11:14.266,01:11:20.071,
No,0,01:11:20.481,01:11:26.160,
No,0,01:11:26.570,01:11:31.582,
No,0,01:11:31.992,01:11:39.757,
No,0,01:11:40.167,01:11:43.261,
No,0,01:11:43.671,01:11:45.096,
No,0,01:11:45.506,01:11:50.059,
No,0,01:11:50.469,01:11:55.732,
No,0,01:11:56.142,01:11:58.151,
No,0,01:11:58.561,01:13:52.807,
No,0,01:13:53.217,01:14:00.398,
No,0,01:14:00.808,01:14:05.319,
No,0,01:14:05.729,01:14:11.159,
No,0,01:14:11.569,01:14:18.416,
No,0,01:14:18.826,01:14:40.480,
No,0,01:14:40.890,01:14:42.857,
No,0,01:14:43.267,01:14:45.818,
No,0,01:14:46.228,01:14:48.529,
No,0,01:14:48.939,01:14:52.575,
No,0,01:14:52.985,01:15:01.501,
No,0,01:15:01.911,01:15:06.422,
No,0,01:15:06.832,01:15:11.177,
No,0,01:15:11.587,01:15:14.138,
No,0,01:15:14.548,01:15:16.891,
No,0,01:15:17.301,01:15:22.563,
No,0,01:15:22.973,01:15:25.566,
No,0,01:15:25.976,01:15:29.320,
No,0,01:15:29.730,01:15:46.420,
No,0,01:15:46.830,01:15:49.840,
No,0,01:15:50.250,01:15:52.718,
No,0,01:15:53.128,01:15:56.722,
No,0,01:15:57.132,01:16:05.606,
No,0,01:16:06.016,01:16:20.371,
No,0,01:16:20.781,01:16:35.511,
No,0,01:16:35.921,01:16:39.056,
No,0,01:16:39.466,01:16:46.022,
No,0,01:16:46.432,01:16:48.774,
No,0,01:16:49.184,01:16:51.277,
No,0,01:16:51.687,01:16:58.701,
No,0,01:16:59.111,01:17:00.244,
No,0,01:17:00.654,01:17:02.246,
No,0,01:17:02.656,01:17:03.956,
No,0,01:17:04.366,01:17:05.708,
No,0,01:17:06.118,01:17:07.585,
No,0,01:17:07.995,01:17:11.839,
No,0,01:17:12.249,01:17:13.883,
No,0,01:17:14.293,01:17:18.304,
No,0,01:17:18.714,01:17:20.473,
No,0,01:17:20.883,01:17:22.808,
No,0,01:17:23.218,01:17:26.020,
No,0,01:17:26.430,01:17:34.278,
No,0,01:17:34.688,01:17:36.364,
No,0,01:17:36.774,01:17:37.907,
No,0,01:17:38.317,01:17:39.408,
No,0,01:17:39.818,01:17:40.242,
No,0,01:17:40.652,01:17:41.994,
No,0,01:17:42.404,01:17:44.330,
No,0,01:17:44.740,01:17:45.373,
No,0,01:17:45.783,01:17:48.459,
No,0,01:17:48.869,01:17:52.046,
No,0,01:17:52.456,01:17:54.173,
No,0,01:17:54.583,01:17:59.637,
No,0,01:18:00.047,01:18:01.389,
No,0,01:18:01.799,01:18:06.227,
