name,year,director,tmdb_id,imdb_id,filename,overview,tagline
River Of No Return,1954,Otto Preminger,1936,tt0047422,River-Of-No-Return(1954){tmdb-1936}.mp4,An itinerant farmer and his young son help a heart-of-gold saloon singer search for her estranged husband.,"Reckless, Roaring, Adventure of the Great Northwest Gold Rush Days!"
Roy Colt Winchester Jack,1970,Mario Bava,92788,tt0066315,Roy-Colt-Winchester-Jack(1970){tmdb-92788}.mp4,"Two outlaws compete with each other over a treasure map that will lead them to buried gold while one of them is in league with a sadistic priest-turned-crime lord, while a young Native American girl helps both outlaws and plays both sides against each other.",
Run For Cover,1955,Nicholas Ray,85639,tt0048570,Run-For-Cover(1955){tmdb-85639}.mp4,An ex-convict drifter and his flawed young partner are made sheriff and deputy of a Western town.,"The story of a man apart... who brought faith to a youth, love to a woman, justice to a land!"
Shane,1953,George Stevens,3110,tt0046303,Shane(1953){tmdb-3110}.mkv,"A weary gunfighter attempts to settle down with a homestead family, but a smouldering settler and rancher conflict forces him to act.",The greatest story of the West ever filmed!
Shanghai Knights,2003,David Dobkin,6038,tt0300471,Shanghai-Knights(2003){tmdb-6038}.mp4,"When a Chinese rebel murders Chon's estranged father and escapes to England, Chon and Roy make their way to London with revenge on their minds.",A Royal Kick In The Arse
Shanghai Noon,2000,Tom Dey,8584,tt0184894,Shanghai-Noon(2000){tmdb-8584}.mp4,"Chon Wang, a clumsy imperial guard, trails Princess Pei Pei when she's kidnapped from the Forbidden City and transported to America. Wang follows her captors to Nevada, where he teams up with an unlikely partner, outcast outlaw Roy O'Bannon, and tries to spring the princess from her imprisonment.",The old west meets the far east.
Silverado,1985,Lawrence Kasdan,11509,tt0090022,Silverado(1985){tmdb-11509}.mp4,"Four unwitting heroes cross paths on their journey to the sleepy town of Silverado. Little do they know the town where their family and friends reside has been taken over by a corrupt sheriff and a murderous posse. It's up to the sharp-shooting foursome to save the day, but first they have to break each other out of jail, and learn who their real friends are.",Four strangers become friends. Four friends become heroes. On the road to Silverado.
Soldier Blue,1970,Ralph Nelson,14384,tt0066390,Soldier-Blue(1970){tmdb-14384}.mp4,"After a cavalry group is massacred by the Cheyenne, only two survivors remain: Honus, a naive private devoted to his duty, and Cresta, a young woman who had lived with the Cheyenne two years and whose sympathies lie more with them than with the US government. Together, they must try to reach the cavalry's main base camp. As they travel onward, Honus is torn between his growing affection for Cresta.",The most savage film in history!
Stagecoach,1939,John Ford,995,tt0031971,Stagecoach(1939){tmdb-995}.mp4,"A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process.",A powerful story of nine strange people.
Straight To Hell,1987,Alex Cox,9698,tt0094048,Straight-To-Hell(1987){tmdb-9698}.mp4,"A gang of bank robbers with a suitcase full of money go to the desert to hide out. After burying the loot, they find their way to a surreal town full of cowboys who drink an awful lot of coffee.","A story of blood, money, guns, coffee, and sexual tension."
Strange Way Of Life,2023,Pedro Almodóvar,963765,tt13055264,Strange-Way-Of-Life(2023){tmdb-963765}.mkv,"After 25 years, an ex hired gun visits his old colleague, who is now a small town sheriff. Their past relationship is explored, as is how they reflect on it in the present.",
Surrounded,2023,Anthony Mandler,759584,tt2572212,Surrounded(2023){tmdb-759584}.mp4,"After her stagecoach is ambushed, a woman is  tasked with holding a dangerous outlaw captive and must survive the day when the bandit’s gang tries to free him.",Never surrender.
Take a Hard Ride,1975,Antonio Margheriti,44697,tt0073784,Take-a-Hard-Ride(1975){tmdb-44697}.mp4,"After his cattle rancher boss dies, right-hand man Pike is given the job of returning $86,000 to some families who live across the border in Sonora, Mexico. Honest Pike is joined on the trip through the wilderness by a dishonest gambler named Tyree.",It Rides With The Great Westerns
Terror In a Texas Town,1958,Joseph H. Lewis,46681,tt0052287,Terror-In-a-Texas-Town(1958){tmdb-46681}.mkv,"Armed with a harpoon, a Swedish whaler is out for revenge after the death of his father. A greedy oil man trying to buy up the Swede's land might be the guilty party.",When the Texas Plains Ran With Blood and Black Gold!
The Alamo,1960,John Wayne,11209,tt0053580,The-Alamo(1960){tmdb-11209}.mp4,The legendary true story of a small band of soldiers who sacrificed their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.,The Mission That Became a Fortress! The Fortress That Became a Shrine!
The Apple Dumpling Gang,1975,Norman Tokar,18660,tt0072653,The-Apple-Dumpling-Gang(1975){tmdb-18660}.mp4,A roving bachelor gets saddled with three children and a wealth of trouble when the youngsters stumble upon a huge gold nugget. They join forces with two bumbling outlaws to fend off the greedy townspeople and soon find themselves facing a surly gang of sharpshooters.,"Wanted: For chicanery, skulduggery, tomfoolery and habitual bungling!"
The Assassination Of Jesse James By The Coward Robert Ford,2007,Andrew Dominik,4512,tt0443680,The-Assassination-Of-Jesse-James-By-The-Coward-Robert-Ford(2007){tmdb-4512}.mp4,"Outlaw Jesse James is rumored to be the 'fastest gun in the West'. An eager recruit into James' notorious gang, Robert Ford eventually grows jealous of the famed outlaw and, when Robert and his brother sense an opportunity to kill James, their murderous action elevates their target to near mythical status.",Beyond the myth lies America's greatest betrayal
The Ballad Of Buster Scruggs,2018,Joel Coen,537996,tt6412452,The-Ballad-Of-Buster-Scruggs(2018){tmdb-537996}.mp4,"Vignettes weaving together the stories of six individuals in the old West at the end of the Civil War. Following the tales of a sharp-shooting songster, a wannabe bank robber, two weary traveling performers, a lone gold prospector, a woman traveling the West to an uncertain future, and a motley crew of strangers undertaking a carriage ride.",Stories live forever. People don't
